Quote,Speaker,Group
"If you're white, you can occupy federal property ... and get found not guilty. No teargas, no tanks, no rubber bullets ... If you're indigenous and fighting to protect our earth, and the water we depend on to survive, you get tear gassed, media blackouts, tanks and all that. ",  Black lives matter organizer Alicia Garza ,B
"The granting of an easement, without any environmental review or tribal consultation, is not the end of this fight — it is the new beginning. Expect mass resistance far beyond what Trump has seen so far. ... Our tribal nations and Indigenous grassroots peoples on the front lines have had no input on this process. ",  The director of the Indigenous Environmental Network ,B
The U.S. must recognize that we have political equality.  This is much larger than a specific infrastructure project. It goes to the fundamental relationship. ,"  Fawn Sharp, president of the Quinault Indian Nation and the Affiliated Tribes of Northwest Indians ",B
"Chief Arvol Looking Horse, spiritual leader and Keeper of the Sacred Pipe Bundle of the Lakota/Dakota/Nakota Nations, invoked his role as the voice of traditional government of the Great Sioux Nation and called upon President Barack Obama to communicate ""nation to nation, as indicated by our treaties."" ", Chief Arvol Looking Horse,B
assault and intimidation at the hands of the militarized police force. ,  Veterans Stand for Standing Rock ,B
We are prepared to put our bodies between Native elders and a privatized military force. We've stood in the face of fire before. We feel a responsibility to use the skills we have. ,  Air force veteran Elizabeth Williams ,B
the oil companies and the government of the United States have failed to respect our sovereign rights. , Chief Archambault ,B
It's just been escalating to that point where we have to use our phones to just show our side of our story. ,  protester E'sha Hoferer ,B
"Because of the Dakota Access pipeline protest we that live here have to deal with racism or prejudice more now than before up in Bismarck,.... The casino is still impacted by this. And our casino is one of our primary economic drivers, ","  Edward Swifthorse, who lives in Cannon Ball, the reservation community nearest the camps ",B
about how the people have the right to overthrow the government if it abuses its power. Who said that? ,"  Rattler, native activist ",B
"We’re going to be on the lookout. We’re going to be watchdogs,.... because we have no faith in the Iowa Utilities Board or Dakota Access. ","  Matt Ohloff, an organizer with Iowa Citizens for Community Improvement, a vocal opponent of the pipeline ",B
"They have just almost limitless funds for their legal process and we don’t.... To me, that’s taking away our rights, and taking it away from our children. "," Dick Lamb, ""landowner"" ",B
"Documents prove the private security firm collaborated with Iowa Fusion Center, Iowa law enforcement, Iowa FBI regional offices, etc. — all of those agencies must also have documents "," David Goodner, an Iowa activist who helped to plan anti",B
"Adam Mason, state policy director for Iowa Citizens for Community Improvement, said The Intercept report confirms his belief that ""big business and big ag"" are pulling the levers of government in Iowa.""This is the perfect example where you see law enforcement and public safety officials working together for big corporations to the detriment of everyday people,"" "," Adam Mason, state policy director for Iowa Citizens for Community Improvement ",B
"We do not trust the government, period, "," Michael Her Many Horses, a Lakota historian and former executive director of the Oglala Sioux Tribe in South Dakota ",B
"they're gonna bring trumped up charges. They're going to use this to say the 'water protectors' are illegal in every form, so they can bring the feds in, the ATF in. "," Cody Hall, a member of the Lakota tribe who has been active in the pipeline protests ",B
"It is because of the behavior of the state that these tensions are heightened, ", Archambault ,B
"There have been over 200 arrests thus far, and not one weapon produced. ", Goldtooth ,B
Trump's reversal of that decision continues a historic pattern of broken promises to Indian tribes and violation of treaty rights. They will be held accountable in court. , Hasselman ,B
"We know in Flint that water is in dire need,...In North Dakota, they're trying to force pipes on people. We're trying to get pipes in Flint for safe water. "," Art Woodson and two other veterans drove 17 hours straight from Flint, Michigan, ",B
"We are going around and sharing our stories as well as talking to the banks here in Europe that are invested in the fossil fuel projects on our lands,.... They are invested in the fossil fuel projects on our lands that again continue to oppress our people. So we are here to send a message to Credit Suisse that they need to divest from these projects, as well as invest in policies that protect our indigenous nations,... We were not welcomed,... We were muffled out. We were booed. Some of the board members that were present avoided us. They went around the room and tried to avoid our question. They would not answer it,.... They did not say they would divest. They did not respond to us at all. "," Rachel Heaton, a member of the Muckleshoot Tribe ",B
We are suffering the highest rates of cancer. We are suffering the highest rates of sex trafficking per capita. We are suffering the highest rates of suicide per capita. ," Nataanii Means, an Oglala Sioux and Navajo activist and hip-hop artist ",B
"treating the original inhabitants of this land as though we are less than human, as though our lives and lands are something to be ignored and discarded in the never-ending quest for profit. ", Iron Eyes ,B
"Indigenous leaders, landowners and climate activists are ready to challenge this decision in the courts and in the streets - as we have each time the fossil fuel industry steamrolls over human rights for their own profits. ","  May Boeve, executive director of 350.org ",B
"Their whole philosophy for dealing with this situation - and anyone that stands in the way of them and their profits - is based on things like intimidation, instigation and violence. But that's the power of people protest - they don't know what to do when we refuse to give up nonviolence as our main approach. "," Anthony Diggs, communications director for Veterans Stand and a former Marine ",B
"Our people are continuously brushed aside for an industry advancement that will only line the pockets of the top 1 percent, "," Allison Renville, an activist from the Lakota nation ",B
"Go home. We're here to fight the pipeline, not these people, and we can only win this with prayer. ", Elder,C
"We are not opposed to energy independence.  We are opposed to reckless and politically motivated development projects, like DAPL, that ignore our treaty rights and risk our water. Creating a second Flint does not make America great again. ", Archambault,C
"As Indian people, we have a right to protect our lands and protect our water rights. That's our responsibility to the next seven generations. ", Principal Chief Bill John Baker of the Cherokee Nation,C
"putting their whole lives and everything that they had on the line for the protection of their community, ", Alexandria Ocasio-Cortez,C
I can be proud of this life I lived. ," Dustin Monroe, a Native American who fought in Iraq",C
"There's a sense of liberation, a sense of freedom, and a sense of worth. I can actually do something. I'm actually free? ", Archambault,C
"The lessons I learned here: how to listen, how to stay humble, stay in prayer,…It's a very sacred space, always will be,…I'll always stop here when I get a chance, probably for the rest of my life "," Dave Lillis, pointing to spot near a line of trees. Lillis, 39, is from Washington state and said he lived in the camp for five months",C
"A year and a half ago we were invisible, we were invisible people,…. And I think that we have decided that visibility is a gift. And we are going to use it for the greater good. We actually had people who live in the local area who were not even in camp or weren't really even interested in what was going on at camp who would come to camp just to receive health care because, it was free first of all, but also I think it just really touched a part of them that traditional western health care doesn't, "," Linda Black Elk, a teacher at Sitting Bull College",C
It gave me a purpose. I have a purpose in this world again. How often is this opportunity going to come along again where I can say I did something good with my life? ," Sherman Alexander, Cheyenne River reservation Our sacrifices up on Standing Rock humbled me,… I learned how to control my anger. ",C
"The unity, the love and the compassion. The pride of just uniting all of us. Different races, indigenous people from all over the world. It was beautiful,…. This isn't going to go away. This is embedded in our hearts,…. It's something we have to do. To save our planet. To save the human race. "," Hoka Luta Win, or Red Badger Woman",C
"It's not this hippy dippy thing, and it's not this New Age thing. It's something completely new. It's really releasing that inner warrior, that spiritual warrior,…. We've recognized that human spirit within each other. Because that human spirit doesn't have a color. "," Joye Braun, community organizer for the Minnesota based Indigenous Environmental Network",C
"We have lived for generations in this setting. That is our camp. We will continue to provide for our people there, …. This is treaty territory, and no one else has jurisdiction there. ", Standing Rock Sioux spokesperson Phyllis Young,C
"A lot of our people want to be here and pray for our future,…. There's a lot of sadness right now. We have to leave our second home,…. ", tribal chairman Harold Frazier,C
We are not going to do anything negative. It's about prayer. ," Charles Whalen, 50, an alcohol and drug counsellor from Mille Lacs, Minn.",C
"People have been surviving here for hundreds and hundreds of years … so if I back down, what would I look like? "," Matthew Bishop, of Ketchikan, Alaska",C
"There are still prayer and healing ceremonies occurring at the camp, and the future of the camp is dependent on the litigation, ", tribal spokesman Remi Bald Eagle,C
"but for some of us, it's strengthening our resolve as well. We know we still need to be here and we are going to be as active, if not more, in the future. "," Glenn Williamson, a 41-year-old camp member from Sioux Falls, S.D.",C
"We can't just fight. We can't just resist, We have to offer an alternative. We have an alternative here. "," Matthew Gordon, a native of the Quad Cities",C
I came here to kill the snake. ," Helen Red Feather, 60, of Pine Ridge, South Dakota",C
"This is sacred ground, We are claiming eminent domain. ", Robby Romero,C
"spiritual battle… This is a protest about the stewardship of God's creation and justice for the indigenous peoples of the Great Plains, "," Bruce Ough, a Methodist bishop responsible for the Dakotas and Minnesota",C
the most powerful experience I have had in 25 years at Standing Rock , Mr Floberg,C
"Just because someone is protesting one type of technological intrusion doesn't mean that their embrace of other technologies is somehow ironic. It's a sign of technological sophistication, not a fruitless protest against modernity, as I think is sometimes shown in the media, ", author Vine Deloria,C
"The idea of small-is-beautiful is important here I think,…. This was an ethic popularized by the American counterculture but quickly adopted by indigenous peoples globally as a means of reconciling nature, culture and technology. "," Andrew Kirk, a history professor at the University of Nevada",C
But we will continue this fight until we are heard and the world knows what happened to us. ," Danielle Ta'Sheena Finn, a spokeswoman for the Standing Rock Sioux",C
"We are going to keep it going, keep organizing meetings and find a way to be able to take care of the health and welfare of our people, and preserve land and water. "," Ivan Lookinghorse, a medicine man from the Cheyenne River Reservation",C
"On the day I was arrested, it was during a prayer walk away from the pipeline. ", Manuel,C
"If I don't stand up for my rights and our title as a Secwepemc woman and as a mother, I'm leaving this fight even greater for my children. I love my children so much that I'll do whatever I can to protect their water and their salmon for all of their future. ", Kanahus Manuel of the Secwepemc Nation in British Columbia,C
"This is a fight for water, and for sacred land. They're still going to need support here. "," Tiger Forest, who's been staying with the Lakota Sioux",C
"But keep the coalitions together, because there are more pipelines proposed, and we must protect our Mother Earth for our future generations. "," Gay Kingman, the executive director of the Great Plains Tribal Chairman's Association",C
"If you don't know very much about Native American people, you wouldn't understand that this is something that's kind of natural to us,… When we have ceremonies, we do camps like this. It's something that we've always known how to do, going back to pre-colonial times. "," Hopkins, who is enrolled in the Sisseton Wahpeton Oyate Nation and was born on the Standing Rock Reservation",C
"We’re here today to send a message that we, as human beings, are indigenous to the earth. The earth is our mother. Your relationship with the mother is forever. The earth gives us our water, our air, our food, our shelter. We need to protect it. "," Cassandra Begay, 31, a member of the Navajo tribe",C
The [archaeological] firm that came through here walked over these. They do not have a connection that we have to our spiritual walk of life. , Mentz,C
"It's my hope that the federal government, working with the various (tribal) nations who are affected by the pipeline, and working with the company involved, can come to a reasonable resolution, one that honors the need for energy but that does so in ways that protect the environment that God has given all of us and that respects sacred burial grounds of the native, indigenous people that live there. ", bishop Michael Curry,C
"To put that pipeline in the ground would be irreparable harm for us in our culture,… ", Cheyenne River Chairman Harold Frazier,C
"The mere presence of the oil in the pipeline renders the water spiritually impure, "," Nicole Ducheneaux, lawyer for the Cheyenne River Sioux tribe",C
"in peaceful prayer and in dignity as we assert our rights to protect our environment, our economy and our sovereignty. ", American Indian activist Chase Iron Eyes,C
"Our camp is gone, but our spirit is not broken, ", Sioux member Floris Bull White,C
