QUOTE,REMOVE
"These people should not be treated like the enemy. Police must keep the peace using minimal force appropriate to the situation. Confronting men, women, and children while outfitted in gear more suited for the battlefield is a disproportionate response. Under International law and standards, arrests should not be used to intimidate or prevent people from participating in peaceful assembly.",
"If you're white, you can occupy federal property ... and get found not guilty. No teargas, no tanks, no rubber bullets ... If you're indigenous and fighting to protect our earth, and the water we depend on to survive, you get tear gassed, media blackouts, tanks and all that.",
due to damage caused after protesters set numerous fires,
lock [them] in,
very aggressive,
Some of the water was used to repel some of the protest activities,
sprayed more as a mist and we didn't want to get it directly on them but we wanted to make sure to use it as a measure to keep everybody safe.,
voluntary pause,
unfounded.,
multiple archaeological studies conducted with state historic preservation offices found no sacred items along the route,
to understand their position and reiterate our commitment to bring the Dakota Access Pipeline into operation.,
"if the court allowed it, the company would continue building up to the lake's edge even before the easement decision, because each extra month of delay will cost the company more than $80 million",
"The Army has determined that additional discussion and analysis are warranted in light of the history of the Great Sioux Nation's dispossessions of lands, the importance of Lake Oahe to the Tribe, our government-to-government relationship, and the statute governing easements through government property.",
political interference,
further delay in the consideration of this case would add millions of dollars more each month in costs which cannot be recovered.,
long overdue,
yet another attempt at death by delay,
has chosen to further fan the flames of protest by more inaction.,
will only prolong the disruption in the region caused by protests and make life difficult for everyone who lives and works in the area.,
significant,
"the Court agrees that [the Corps] did not adequately consider the impacts of an oil spill on fishing rights, hunting rights, or environmental justice, or the degree to which the pipeline's effects are likely to be highly controversial",
military-style counterterrorism measures,
movement,
an ideologically driven insurgency with a strong religious component.,
"Energy Transfer Partners has continued to retain TigerSwan long after most of the anti-pipeline campers left North Dakota, and the most recent TigerSwan reports emphasize the threat of growing activism around other pipeline projects across the country.",
terms and conditions to be negotiated,X
"incredibly cumbersome, long, horrible permitting process.",
"The granting of an easement, without any environmental review or tribal consultation, is not the end of this fight — it is the new beginning. Expect mass resistance far beyond what Trump has seen so far. ... Our tribal nations and Indigenous grassroots peoples on the front lines have had no input on this process.",
"We are not opposed to energy independence.  We are opposed to reckless and politically motivated development projects, like DAPL, that ignore our treaty rights and risk our water. Creating a second Flint does not make America great again.",
"As Indian people, we have a right to protect our lands and protect our water rights. That's our responsibility to the next seven generations.",
"join[s] with the Standing Rock Sioux Tribe and the many tribal nations fighting this dangerous pipeline.  Like the Keystone XL pipeline, which I opposed since day one, the Dakota Access fracked oil pipeline, will transport some of the dirtiest fuel on the planet. Regardless of the court's decision, the Dakota Access pipeline must be stopped. As a nation, our job is to break our addiction to fossil fuels, not increase our dependence on oil.",
reservations,
The Lesson from Standing Rock: Organizing and Resistance Can Win.,
different.,
"incredibly cumbersome, long, horrible permitting process,",
full of lies.,
determined to win this fight,
deeper fix,
The U.S. must recognize that we have political equality.  This is much larger than a specific infrastructure project. It goes to the fundamental relationship.,
"nation to nation, as indicated by our treaties.",
National Day of Action.,
"Because of the power of social media and the millions of those at Standing Rock, the Army Corps are going to invite the tribe in to discuss their concerns.",
"I think they have a lot of courage. I think they're standing up for America, that they're standing up in the face of a bully.",
assault and intimidation at the hands of the militarized police force.,
"as many as 2,000 veterans",
human shields,
We are prepared to put our bodies between Native elders and a privatized military force. We've stood in the face of fire before. We feel a responsibility to use the skills we have.,
creation of millions of bogus accounts,
social responsibility.,
the pipeline threatens the environment and water resources and exploits Native Americans,
"It is deeply distressing to me that the federal government is putting the profits of the oil industry ahead of the treaty and sovereign rights of Native American communities. Mr. President, you took a bold and principled stand against the Keystone Pipeline – I ask you to take a similar stand against the Dakota Access Pipeline.",
long history of pushing the impacts of pollution onto the most economically and politically disadvantaged people and communities across this country,
the project's current permits should be suspended and all construction stopped until a complete environmental and cultural review has been completed for the entire project,
the ripest case of environmental racism I have seen in a long time,
"The tribes of this country have sacrificed a lot so this great country could be built. With promises broken, land stolen and sacred lands desecrated, the Standing Rock Sioux Tribe is standing up for their right to clean water. They have lost land for settlers to farm, more land for gold in the Black Hills, and then again, even more, land for the dam that was built for hydropower. When will the taking stop?",
"I know that many of you have come together across tribes and across the country to support the community at Standing Rock. And together, you're making your voices heard.",
"putting their whole lives and everything that they had on the line for the protection of their community,",
upon all parties to stop the construction of the Dakota Access Pipeline.,
the oil companies and the government of the United States have failed to respect our sovereign rights.,
"The tribe was denied access to information and excluded from consultations at the planning stage of the project, and environmental assessments failed to disclose the presence and proximity of the Standing Rock Sioux Reservation.",
"The U.S. authorities should fully protect and facilitate the right to freedom of peaceful assembly of indigenous peoples, which plays a key role in empowering their ability to claim other rights.",
emergency,
I can be proud of this life I lived.,
suitable for winter habitation,
"It's just been escalating to that point where we have to use our phones to just show our side of our story,",
"unfounded,",
"There's a sense of liberation, a sense of freedom, and a sense of worth. I can actually do something. I'm actually free?",
"Tent used to be right over here,",
"It's bittersweet, ",
"I came here last night for minute and was going to camp out. Ended up going up the road and sleeping in the car for a while, because it just didn't feel the same.",
"The lessons I learned here: how to listen, how to stay humble, stay in prayer,",
"It's a very sacred space, always will be,",
"I'll always stop here when I get a chance, probably for the rest of my life",
"A year and a half ago we were invisible, we were invisible people,",
"We were invisible to people, they didn't want to see us and we're not invisible anymore,",
And I think that we have decided that visibility is a gift. And we are going to use it for the greater good.,
"We actually had people who live in the local area who were not even in camp or weren't really even interested in what was going on at camp who would come to camp just to receive health care because, it was free first of all, but also I think it just really touched a part of them that traditional western health care doesn't,",
"One of the things I dream about a lot is this sort of slow motion of me standing there and all of a sudden this massive dog coming at me and coming right up to my face like it was going to bite my face,",
"I found family in camp and people who are still my family,",
People who I have absolutely no doubt that whenever I need them they will be there for me.,
"Cannon Ball should have been compensated from the GoFundMe groups to whoever used Cannon Ball's name for profit,",
"Because of the Dakota Access pipeline protest we that live here have to deal with racism or prejudice more now than before up in Bismarck,",
"The casino is still impacted by this. And our casino is one of our primary economic drivers,",
"But it's going to take time and it's going to take healing and it's going to take relationship building again,",
"If I were to cuss you out and call you bad names and bad words, how easy is it for you to forgive and let that go?",
"So, at the individual level, it's not very easy to overcome what has happened.",
"It could be a monument, it could be a site where people can come and pray,",
"The way people just got along, said 'hi' to each other, 'good morning,' helped each other out. Like when somebody was down, somebody would go over there and pick them up,",
It gave me a purpose. I have a purpose in this world again. How often is this opportunity going to come along again where I can say I did something good with my life?,
"Our sacrifices up on Standing Rock humbled me,",
"I learned how to control my anger. The unity, the love and the compassion. The pride of just uniting all of us. Different races, indigenous people from all over the world. It was beautiful,",
"This isn't going to go away. This is embedded in our hearts,",
It's something we have to do. To save our planet. To save the human race.,
"It's not this hippy dippy thing, and it's not this New Age thing. It's something completely new. It's really releasing that inner warrior, that spiritual warrior,",
"And it doesn't matter what background you come from or where you're from. We've united as people,",
We've recognized that human spirit within each other. Because that human spirit doesn't have a color.,
DAPL,X
self-serving and amounts to them limiting their liability,
menacing action meant to cause fear,
"We have lived for generations in this setting. That is our camp. We will continue to provide for our people there,",
"This is treaty territory, and no one else has jurisdiction there.",
We are in the heart of winter now,
To even think of a forced removal is terrifying,
STOP DIRTY PIPELINE DEALS!,
eco-terrorist groups,
campaigns of misinformation.,
silence free speech.,
hometown back.,
nothing will happen,
"tarpees,",
expeditiously review and approve,
longshot.,
#,X
otf-post_link,X
meta-nav,X
#,X
otf-post_link,X
meta-nav,X
complain to elected officials,
don't know how to cook bacon.,X
satirical,X
The Faction,X
Space Force,X
givers,
takers.,
givers,
takers.,
I was there doing my job.,
"Over a year later I still have not obtained my arrest report despite repeated requests,",
"Journalists have an important role in documenting incidents in the public interest, including instances of civil disobedience and law enforcement operations,",
"Trespass and rioting laws should require criminal intent, and journalists who are simply doing their job should not face criminal charges.",
"I think what happened at Standing Rock is similar to what happened in Ferguson, even St. Louis,",
"What's really unusual at Standing Rock is the prosecutor has refused to drop charges, even though it's clear they were just journalists doing their job,",
heat of the moment,
"In a demonstration, having journalists be able to go in and cover something like this up close is essential,",
It's a shame it wasn't taken more seriously.,
"All you have to do is look at the bylines,",
Jenni is doing pretty traditional journalism.,
"I was not a stranger at that point,",
I had a working relationship with the police at that point.,
"I completely cooperated with the police 100 percent of the time,",
It was very visible that I was press.,
"There is a First Amendment for the press, and they should go to the story,",
We have to let reporters go to the news.,
"I've never been arrested while doing journalism before,",
That was a first.,
"spared the humiliation,",
embedded,
Standing Rock & the Media,
"For whatever reason that didn't become a crusade in the way it would in previous generations,",
"Trahant Reports,",X
"When one journalist is threatened, we all are,",
"We cannot do our jobs when we worry about being injured or worse. And when a journalist is arrested? Well, everyone who claims the First Amendment as a framework should object loudly.",
"I took it for granted that our press freedoms are secure,",
"What a wakeup call it's been. Free speech is an American right. It's not just reserved for journalists, it's for everyone.",
Standing Rock & the Media,
"required North Dakota to provide a sustained, large-scale public safety response to prevent deaths, and protect property and public safety, including that of the protesters,",
"The protesters' sprawling encampments, with virtually no sanitation facilities, and their contamination of the land and water during their 'occupation,' were all in violation of federal law,",
"Federal support was extremely limited, and non-existent other than minimal technical and liaison work,",
a gift to the people of North Dakota,
not intended to offset the obligation of the Corps.,
"If the Corps thinks they are entitled to some sort of offset for the $10 million grant from the Department of Justice, I look forward to their reasoning,",
"We think this is a great step forward for energy security in America,",
"I was looking for a quote,",X
about how the people have the right to overthrow the government if it abuses its power. Who said that?,
"Rattler told me in the previous weeks, on two occasions, two different unmarked cars pulled up beside him on the street and a passenger brandished a Glock 10 before the vehicles sped away. He said that numerous local residents have driven by and yelled, “Go home!” while he smoked on the porch.  “It’s funny, because I want to get out of here, too,” he said. “But part of me wants to yell back, ‘Go home? We were here first!’” He’s staying at the home of a member of the local Unitarian Church, a small detached house near the center of Bismarck in a row of small detached houses, in organized, anonymous, suburban-looking blocks.I came to North Dakota three months after the February eviction. There was all but no sign of the once sprawling camps that had stood 40 miles south of Bismarck. You have to look hard for relics left on the wind beaten, sand-brown grass, like a lone cinder block bearing “#NoDAPL” in black spray paint, or razor wire piled up in a mound by the 1806 Highway, gleaming in the sun. Riot police had used the wire to surround and block off a sacred burial site named Turtle Island after water protectors crossed near-freezing water to pray there in November.I traveled to the site with Freeman and some of her co-workers. An ebullient paralegal named Jess in gold eye-shadow and a floral skirt pointed out where the various camp areas had stood. She hadn’t returned to the site since the February eviction. Nor had Dandilion Cloverdale, a sex worker and educator from Montana who now works for the Freshet Collective in North Dakota to coordinate travel and lodging for defendants. Cloverdale walked around solemnly, eyes streaming from the winds blowing sideways on the plains. “It’s sad coming back here, it looks so different” they said, adding “it’s hard,” a phrase I heard like a refrain that trip.Cloverdale had been the camp manager for the small Two Spirit Nation camp at Standing Rock, which brought together the intersection of the indigenous and LBGTQ struggle and many Two Spirit youth.  “Before the occupation there were two teen suicides a month on this reservation” said Cloverdale. “During the occupation, there were none. There was promise and hope, young people believed in themselves.” Native teens and young adults are 1.5 times as likely to kill themselves as the national average. The Standing Rock movement’s guiding words, Mni Wiconi (water is life) meant more than clean water advocacy. Water protectors and land defenders see themselves in a struggle to affirm and sustain life, which is as much spiritual as it is material and environmental.Not all the lawyers and organizers are in North Dakota full-time like Freeman; some come for a few weeks at a time for hearings and meetings—a semi-rotating cast of legal activists, who join the close quarters of the Mandan office and apartments. Most nights they cook and eat vegan food together, crammed into Freeman’s temporary living room on two sofas and the floor. Files and paperwork take up every table surface, with extension cords and wires from four to five laptops at a time snaking around the sparse furniture. Outside of their temporary lodgings, the Freshet and WPLC workers stand out in white Trump country; their ranks include Native Americans, gender nonconforming and queer individuals, trendy New Yorkers and what your grandparents might call hippies. “I was picking someone up from Bismarck airport,” Cloverdale told me, “and a group of white folks told me ‘you need to go home.’ They don’t like out-of-towners around here; they give dirty looks to out of state [license] plates.”Freeman concurred. “I’ve never had to work as a defense attorney and endure this kind of hostile environment,” she said. A longtime activist lawyer, she noted that “unlike movements we’ve seen recently, there’s not a robust well of attorneys here. And the court system could have never anticipated this.”The state Supreme Court deemed the situation an “emergency affecting the legal system of North Dakota.” Seventy defense lawyers from all over the state have been appointed to cases; “typically they live and work about four hours away,” Freeman said. But only about ten local defense council are working directly with the WPLC. With only so many barred criminal defense attorneys in North Dakota, a number of whom expressed negative bias against water protectors, the state has had to change its rules to let out-of-state lawyers practice in the Standing Rock cases in what’s known as a pro hac vice capacity. Pro hac vice lawyers must work with a barred North Dakota counsel—the local lawyers working with the WPLC are currently serving as local counsel for around 40 to 45 out-of-state lawyers.North Dakota as a whole has an entrenched conservative bent with Republicans in firm control of the state house and executive. Local landowners and residents in the surrounding rural areas described the camps as a source of disruption, crime and vandalism.“These were situations and circumstances we’d never seen before. It was emotionally, physically and economically taxing to the community,” said Julie Ellingson, the executive vice president of the North Dakota Stockmen’s association, a trade organization which represents livestock producers. “This is a quiet, agricultural area; the largest cattle producing county in the state,” said Ellingson, who has lived in the area all her life. She told me that during the time of the camps, livestock producers couldn’t move their cattle from field to field, faced protest-related roadblocks, and an alleged uptick in stolen, injured and killed animals. On top of a uniquely brutal winter, these were unwelcome interruptions, which provoked ire against protesters, but not the pipeline that drew them to North Dakota. Ellingson was one among a number of local residents who told me that they believed the pipeline construction abided by relevant laws, regulations and necessary agreements—a view challenged by the (equally local) Standing Rock Sioux and their recent federal court victory over the lack of adequate environmental studies and adherence to treaty protections.",X
"This is a threatening environment.”(In the first week of September, after months of filing motions and waiting, Freeman received the news from the Court that Rattler’s bond conditions would be relaxed to allow him to leave Bismarck to live somewhere else—somewhere approved by the court—while awaiting trial. Out of concern for his safety, Freeman does not want to make details of his next location public.)Erickson, the state’s attorney known for theatrical language in court and chain smoking outside of it, told me that “the fatigue the whole area felt, it got raw.” A striking admission from a prosecutor about the risk of local bias. If the whole area was affected, I asked, how could impartial jurors be found for all these cases? “It’s challenging,” he admitted, before asserting swiftly that fair juries were nonetheless being found. He stressed that, contrary to charges of racism in the area against Indians, his Native American friends (“my guys” as he called them) in the sheriff’s department were also burned out by the camps. The same state’s attorney filed motions in December to disallow defendants from mentioning the following in court: “historical treaties between the U.S. Government and the Sioux Nation; tribal sovereignty; the merits and demerits of the Dakota Access Pipeline; climate change; sacred sites.” Erickson argued these issues had “no relevance” to the criminal cases at hand. If an individual defendant did want to raise the fact that 99 percent of the arrests took place on land accorded to the Lakota tribe in either the 1851 or 1858 Fort Laramie treaties, the point would have little legal traction. But if these treaties—harsh compromises in and of themselves—were truly respected, none of these trials would be happening: state and federal powers have no jurisdiction on treaty land.  If they had been historically respected, they would be no DAPL in the first place. The grim irony that many of the arrests led to trespass charges for natives on what should be their land is one that animates the history of this country. The attorney noted that there is hardly anywhere to bring an argument from a sovereign nation’s claim—international courts are not going to weigh in on the Standing Rock criminal trials. But according to the lawyers I spoke to, including Bruce Ellison, a veteran attorney who represented AIM leaders after the 1973 standoff and continues to represent Leonard Peltier as well as a number of Standing Rock defendants, many of the cases are eminently defensible on points of law and proof, regardless of a treaty defense. The challenge is to defend what they believe to be defensible in this tough rural context with only a small legal operation handling hundreds of cases.After a group dinner in her living room one night, Freeman and I sat in her equally jumbled adjoining bedroom. “In these cases we have both law and proof on our side. But really,” she said, with a quiver to her voice, “it’s the righteousness of it.”In early July, Freshet published a tally of case statistics. Six hundred and four state cases were unresolved (517 open cases, 85 warrants issued and two cases going through appeal), with charges ranging from minor disorderly conduct violations to felony arson and assault on an officer. One hundred and fourteen people have already taken plea deals instead of traveling back to Bismarck—no small journey for activists coming from all around the country to face the possible risk of an unsympathetic jury. There had been eight convictions and three not-guilty rulings; the courts will take well over a year to get through the caseload. But by early August, prosecutors, lacking witnesses, evidence, and appropriate paperwork by arresting officers, began to dismiss cases by the dozen, often at the eleventh hour as court dates approach, but hundreds remain.“In these cases we have both law and proof on our side. But really,” she said, with a quiver to her voice, “it’s the righteousness of it.”Accounting for every arrestee and finding each defendant appropriate representation has been a mammoth task in and of itself, and one that is not yet complete. In the meantime, Freshet and WPLC are working with the local lawyers and building collective defense strategies around major days of mass arrests—like October 27—from which scores of protesters face similar charges, while allegations of infirm arrest and police brutality are high. And for the prosecutors, mass arrest days, which involved law enforcement officers from around the country and state, are proving a challenge. At the time of writing, over 168 charges have been outright dismissed by prosecutors before even attempting to extract pleas or go to trial, evidencing the illegitimacy of these charges in the first place. “The prosecution is realizing that they can't make out the elements of the charged offenses,” said Moira Meltzer-Cohen, a New-York based attorney who travels back and forth to North Dakota to represent nine defendants with cases in state court in Mandan. “Some of their cases have been dismissed by judges, and also because, having brought in law enforcement from all over the country, those extra-jurisdictional cops made arrests, failed to complete any meaningful paperwork, went home, and are not keen to return to testify about something that happened in a chaotic environment months ago,” she said, noting that without evidence showing individualized probable cause and without witnesses, the prosecution has been dismissing charges, which should have never been brought. Meltzer-Cohen, whom I’ve known for many years through her work on activist cases in New York, called the legal situation “a mess.”The fact that numerous cases have already been dismissed, and juries have delivered not-guilty verdicts in three cases already, including those of Standing Rock Sioux Tribal Chairman Dave Archambault and Tribal Councilman Dana Yellow Fat gives hope to the defense attorneys. Local paper, the Bismarck Tribune, which skewed dramatically against protesters and in favor of law enforcement in its editorial pages took the acquittals as an occasion to opine that “the system works for everyone.” Meltzer-Cohen scoffed at the editorial. “They had to acquit,” she said, “there was absolutely no basis for the charges.”The lawyer does not see the recent wave of dismissals as an outright victory, but evidence of vast police misconduct and original prosecutorial overreach. “The way the cops use arrest as a form of crowd control dovetails so neatly with the way prosecutors drain us, even without getting any results. It's such a stupid war of attrition, with such pyrrhic victories on both ends,” she said. And for hundreds of arrestees, particularly the federal defendants, a reprieve is not on the near horizon.Freeman believes that in the many cases that remain, only 10 percent of defendants will seek to settle out of court, but that the majority of water protectors will want to fight their cases. “I will go to trial, I will not take a plea,” said a 21-year-old named White Wolf, who faces state charges of riot and trespass from an October 22 arrest. White Wolf was born and raised in Louisiana and comes from the Houma tribe. She went to Standing Rock “because she had to. For the next generation. I went because my ancestors would have done it,” she said via phone. She was among the injured of November 20, shot squarely in the body by a police concussion grenade—a traumatic event from which she said she is still “healing.”During the camp protests, the pipeline was dubbed “the black snake.” But for the Lakota, the black snake is not just one pipeline. It harkens back to a prophecy in which a great black snake would come to the Lakota lands and devastate the earth. According to the prophecy, it would be the youth who would rise up to slay the black snake—a detail not lost on the Standing Rock Sioux youth who were the first to set up camp against the pipeline in April 2016.“The black snake is greed and violence and oppression; we have to come together to fight more than just one pipeline to defeat the black snake,” said Rattler as we sat in the warm, wood-accented living room. Depending on one’s spiritual orientation, there could be either irony or destiny in the fact of Rattler’s position as a high profile defendant in the Standing Rock trials. He earned his name during his marine corps service in the early ‘90s. One night, he was sleeping outside at bootcamp in Pendleton, California—diamondback rattlesnake territory—when he felt a weight along the side of his body. He carefully felt along the mass. A six-foot long poisonous diamondback had wedged itself head down along the side of his sleeping bag. In one move, Rattler grabbed his service knife, grabbed the snake, and cut off its head. His lieutenant, emerging from a tent, watched on. He retells the story with gusto, a grin and dramatic hand gestures. “I was known for pissing off dangerous snakes,” he said. The name Rattler stuck, now an appropriate nom-de-guerre for a man who came to North Dakota to fight the black snake, and whose liberty is under threat because of it.Back in South Dakota, Rattler worked as a truck driver and a handyman, preferring to barter his trades and skills for items he needed to live, rather than money. Ceremony was already part of his life, as an entrusted Lakota pipe carrier—an honored role in ceremonial practice and tradition. He had first come to Standing Rock to deliver donated supplies from Pine Ridge in Betty Boop (his truck, for which he uses bio-fuel whenever possible). He made three return trips until one event in September prompted him to stay for good. “The dog attacks,” he said. In early September, protesters claimed that private DAPL security guards released attack dogs and sprayed mace on protesters. A spokesperson for Energy Transfer Partners told press at the time that protesters had ",X
"The camps will continue,",
"Freedom is in our DNA, and we have no choice but to continue the struggle.",
"A lot of our people want to be here and pray for our future,",
"There's a lot of sadness right now. We have to leave our second home,",
"Passive resistance,",
We are not going to do anything negative. It's about prayer.,
"remains committed to ensuring the safety of everyone here,",
The last thing we want is to see anyone harmed.,
"People have been surviving here for hundreds and hundreds of years … so if I back down, what would I look like?",
the passions that individuals on all sides of the pipeline discussion feel,
will continue to be heard through other peaceful channels and in court.,
"The resistance is growing,",
Water protectors have spread out around the country.,
"There are still prayer and healing ceremonies occurring at the camp, and the future of the camp is dependent on the litigation,",
"The extra cases represent a lot of extra work, but we are soldiering through,",
The Supreme Court has authorized the use of surrogate judges. District judges from around the state have agreed to help.,
"It's disheartening to say the least,",
"but for some of us, it's strengthening our resolve as well. We know we still need to be here and we are going to be as active, if not more, in the future.",
"These are really smart judges, and I think we have a fair shot in the Iowa Supreme Court,",
"This is huge and important,",
"The work is never going to be done. I tried to go back into the real world, to sign that W-2 again, for about five weeks. I just couldn't do it, and I'm not the only one.",
"We are very pleased to bring this important infrastructure project that benefits all Americans and our national economy into service on June 1,",
"We’ll never even know it’s there,",
"And that ground will be back in production. It won't be at 100 percent for a while, but it’ll get back there.",
"NoDAPL Day of Action,",X
a little bit over the top.,
"There were some that would have liked to have it zigzag through their farms, mainly because of what they got paid,",
They didn’t mind the money.,
"I had to do a double-take,",
I couldn’t even see it.,
"We’re going to be on the lookout. We’re going to be watchdogs,",
because we have no faith in the Iowa Utilities Board or Dakota Access.,
complete failure,
very careful and judicious manner.,
tragic accidents,
"We think that this is a better and safer way to do it,",
"We have thousands of miles of pipeline through the state of Iowa. Many of them are much older, and the newer approach that was used in this pipeline I think will be a lot safer.”While the Iowa Utilities Board permitted the project, regulatory oversight lies with federal authorities, particularly the U.S. Department of Transportation Pipeline and Hazardous Materials Safety Administration.That agency was responsible for a slew of construction regulations regarding Dakota Access.",
" said Dillinger, the Energy Transfer spokeswoman. ",
"The federal pipeline agency will require inspections of the pipeline at least once every three to seven years, officials said, but some companies warrant more frequent inspections based on determined risk factors. Environmentalists have little faith in the government's ability to regulate pipelines. Between 2010 and 2016, Iowa authorities were notified of 79 pipeline breaches from more than 25 pipeline operators, according to a Des Moines Register analysis. ",
 Ohloff said. ,X
"It doesn't change anything,",
"For a long time, the mantra of the resistance was, 'It’s not over till the oil is flowing.' And I guess I'd maintain it isn’t even over then.",
long shot.,
"They have just almost limitless funds for their legal process and we don’t. They’ve been through this many times in many states and we haven’t,",
But we are still hopeful. We think we have a good cause and a good argument.,
"it's ours, and we just don’t want a pipeline.",
"One wouldn’t have to be a real estate mogul to realize it would have the potential for development,",
"They paid us absolutely nothing for that potential. They just viewed it as farmland. To me, that’s taking away our rights, and taking it away from our children.",
"We can't just fight. We can't just resist,",
We have to offer an alternative. We have an alternative here.,
"We're trying to be self-sufficient,",
This is the time. We can no longer sit on the fence. You have to make a choice.,
ideologically driven insurgency,
ideologically driven insurgency with a strong religious component,
"While we can expect to see the continued spread of the anti-DAPL diaspora … aggressive intelligence preparation of the battlefield and active coordination between intelligence and security elements are now a proven method of defeating pipeline insurgencies,",
"More than 100 internal documents leaked to The Intercept by a TigerSwan contractor, as well as a set of over 1,000 documents obtained via public records requests, reveal that TigerSwan spearheaded a multifaceted private security operation characterized by sweeping and invasive surveillance of protesters,",
"fearless, adversarial journalism.",
"They offer a daily snapshot of the security firm’s activities, including detailed summaries of the previous day’s surveillance targeting pipeline opponents, intelligence on upcoming protests, and information harvested from social media. The documents also provide extensive evidence of aerial surveillance and radio eavesdropping, as well as infiltration of camps and activist circles,",
"Documents prove the private security firm collaborated with Iowa Fusion Center, Iowa law enforcement, Iowa FBI regional offices, etc. — all of those agencies must also have documents,",
"The safety of our employees and the communities in which we live and work is our top priority. In order to ensure that we do have security plans in place and we do communicate with law enforcement agencies as appropriate. Beyond that we do not discuss details of our security effort,",
"We need to work closer with Calhoun, Boone, and Webster county [law enforcement] to ensure future protestors will at least be fined, if not arrested,” an analyst wrote. “Alternatively, we could request Lee County LE speak to other counties about tactics that are working.”Ed Fallon, a former Iowa legislator who has strongly opposed the Dakota Access Pipeline as a leader of Bold Iowa, said Saturday he helped to organize so-called BAT teams, an acronym for Bold Action Teams, that used guerrilla-style protest tactics to roam through areas of the Iowa pipeline construction project in an effort to impede workers.",
" Fallon said.A link has been posted to your Facebook feed. Adam Mason, state policy director for Iowa Citizens for Community Improvement, said The Intercept report confirms his belief that ",
 are pulling the levers of government in Iowa.,
 Mason said.Former Iowa Gov. Terry Branstad said last August he was authorizing the Iowa State Patrol to make arrests and ensure that construction of the Dakota Access Pipeline proceeded if protesters followed through on pledges to engage in civil disobedience in a bid to stop the project.,
 Branstad said. ,X
serve the national interest,
expedited,
consider,X
take all actions necessary and appropriate to facilitate its expeditious review,
"Americans know this pipeline was unfairly rerouted towards our nation and without our consent,",
"instead of pushing bogus claims about the potential of pipelines to create jobs, Trump should focus his efforts on the clean energy sector where America's future lives",
dog kennels,X
Go big,X
"Go fast ... before things spin out of control,",
"Martin said the purpose of the video teleconference was to ensure the county is prepared to handle expected protests for the pipeline, which is scheduled to be buried through 37 miles of western and southern Lancaster County,",
"peaceful, nonviolent",
"Unfortunately, a lot of times these things can be overwhelmed from outside groups,",
"Move it? The question is where,",
And good luck with building a new pipeline.,
"Common sense dictates that a pipeline which is already 28 percent past its viable life will eventually be decommissioned,",
Government would be wise to plan for that proactively – before disaster strikes.,
"The nature of the problem is a defect in the pipeline traced to the entire construction period in 1953, so that raised a lot of doubts,",
"Just because something is old does not mean it's at much greater risk of failure,",
"By granting the easement, Trump is risking our treaty rights and water supply to benefit his wealthy contributors and friends at DAPL,",
"We are not opposed to energy independence. We are opposed to reckless and politically motivated development projects, like DAPL, that ignore our treaty rights and risk our water. Creating a second Flint does not make America great again.",
"Ground water contamination by crude oil is a widespread problem,",
"24 hours a day, seven days a week and 365 days a year.",
"developed response and action plans, and will include several monitoring systems, shut-off valves, and other safety features to minimize the risk of spills and reduce...any potential damages.",
deployed,X
"We do not trust the government, period,",
"This was beautiful North Dakota prairie in a sensitive watershed area,",
Its only use prior to this was for cattle grazing.,
"They can get us out of Oceti, but they can't stop what we started here,",
